image,source,origin_split
dataset-1_00ake_jpg.rf.54511023aa4723b487256cd397af6d6a.jpg,dataset-1,train
dataset-1_00ake_jpg.rf.bf14a6b4b7465c6cd67c11c5183fd39c.jpg,dataset-1,train
dataset-1_101_jpg.rf.8fd6260fc299566b99c61eb7f5183b23.jpg,dataset-1,train
dataset-1_103_jpg.rf.16725e09594c66233de952f8bf57e0b6.jpg,dataset-1,train
dataset-1_103_jpg.rf.a2f47995f26dfff71d438dba9bc82d4b.jpg,dataset-1,train
dataset-1_111_jpg.rf.0325e5651e0fc99e47b6b976c69a9d16.jpg,dataset-1,train
dataset-1_111_jpg.rf.551905323ecf51998bb301cc091bca37.jpg,dataset-1,train
dataset-1_111_jpg.rf.9b5bc789811c23811658a9ec7b859c16.jpg,dataset-1,train
dataset-1_133_jpg.rf.35c0b11e7226900aafc12d62ebbc916d.jpg,dataset-1,train
dataset-1_133_jpg.rf.370f90f109e1ba968d7f7bba5f91deab.jpg,dataset-1,train
dataset-1_133_jpg.rf.4937b52d17a69a858d03ebb9413eea58.jpg,dataset-1,train
dataset-1_145_jpg.rf.1631c148d5139a3343d13d6c1802f5e7.jpg,dataset-1,train
dataset-1_145_jpg.rf.2bf7f5d4c29ec97f296648725a56d127.jpg,dataset-1,train
dataset-1_145_jpg.rf.4ca75f8fa73830ddaa512c522fccc0ce.jpg,dataset-1,train
dataset-1_14_jpg.rf.0acf5f27221d4b20a6045313c858349d.jpg,dataset-1,train
dataset-1_14_jpg.rf.bd39ac0822604886fae6f722054afabe.jpg,dataset-1,train
dataset-1_14_jpg.rf.c600e23d587017c2b7fcbed6fda8f8ea.jpg,dataset-1,train
dataset-1_1_jpg.rf.0d2e053d482befc31c93f4d7c62b0051.jpg,dataset-1,train
dataset-1_1_jpg.rf.359ef4c4bd208b311ea90c00e8239f1e.jpg,dataset-1,train
dataset-1_1_jpg.rf.3e4a83aeec81990f36e7aac45148d32e.jpg,dataset-1,train
