epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,61.7635,1.42146,2.01237,2.12538,0.0611,0.80188,0.28076,0.31863,0.17722,1.3917,2.49552,2.5279,0.03921,0.00332317,0.00332317,0.0700915
2,121.59,1.27885,1.73807,1.93089,0.04425,0.43368,0.39508,0.36101,0.22091,1.24921,1.69124,2.23678,0.03166,0.00661257,0.00661257,0.0400475
3,180.222,1.2134,1.60029,1.84815,0.04064,0.48908,0.39267,0.38826,0.2361,1.1977,1.58495,2.2156,0.03298,0.00985797,0.00985797,0.0099596
4,237.849,1.14462,1.51152,1.78903,0.03486,0.5568,0.46619,0.47001,0.31407,1.03211,1.35417,1.98128,0.02308,0.009802,0.009802,0.009802
5,297.362,1.10713,1.43765,1.74449,0.03345,0.59461,0.47431,0.51195,0.34304,0.95407,1.23036,1.85183,0.02985,0.009736,0.009736,0.009736
6,355.763,1.0784,1.35152,1.72552,0.03103,0.51024,0.50647,0.49768,0.34383,0.88707,1.42865,1.78483,0.02283,0.00967,0.00967,0.00967
7,414.466,1.03587,1.2953,1.69019,0.0304,0.60568,0.50027,0.49606,0.34065,0.89858,1.17501,1.80408,0.02527,0.009604,0.009604,0.009604
8,473.894,1.0022,1.22712,1.64999,0.02691,0.62979,0.55654,0.57545,0.39611,0.8769,1.0719,1.75697,0.02345,0.009538,0.009538,0.009538
9,533.168,0.985,1.20061,1.64107,0.02783,0.67324,0.56132,0.58681,0.41371,0.84034,1.05499,1.71268,0.02246,0.009472,0.009472,0.009472
10,592.81,0.96336,1.16099,1.60123,0.02764,0.7071,0.53962,0.6006,0.43294,0.80585,0.94392,1.65517,0.02222,0.009406,0.009406,0.009406
11,651.975,0.95188,1.1257,1.60202,0.02688,0.67703,0.53513,0.55755,0.39466,0.82448,1.17644,1.68768,0.02108,0.00934,0.00934,0.00934
12,710.81,0.94919,1.14865,1.60119,0.02858,0.68919,0.56762,0.59859,0.42592,0.81013,0.91882,1.67194,0.02111,0.009274,0.009274,0.009274
13,770.343,0.93137,1.0974,1.58908,0.02513,0.73637,0.56875,0.61414,0.43757,0.79833,0.87786,1.62939,0.02182,0.009208,0.009208,0.009208
14,828.434,0.92795,1.09466,1.57719,0.02454,0.6639,0.57953,0.60503,0.44668,0.75172,0.8528,1.58442,0.02053,0.009142,0.009142,0.009142
15,888.017,0.90348,1.0503,1.55285,0.0239,0.72857,0.57545,0.62451,0.45927,0.75628,0.88037,1.58944,0.023,0.009076,0.009076,0.009076
