epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,16.9994,1.59466,2.17725,1.77375,0.04758,0.31442,0.39415,0.30107,0.18222,2.00444,4.27432,2.28442,0.08147,0.00328125,0.00328125,0.0704687
2,31.472,1.33167,1.32939,1.56332,0.01697,0.68134,0.61427,0.67352,0.47309,1.54377,2.74032,1.83711,0.02569,0.00660812,0.00660812,0.0404623
3,45.721,1.30676,1.28161,1.58331,0.01652,0.65611,0.55342,0.57553,0.44204,1.82187,2.57638,1.98946,0.07856,0.00990909,0.00990909,0.0104299
4,59.9138,1.20263,1.13648,1.49812,0.01138,0.58406,0.54122,0.51538,0.33385,1.5141,2.75288,1.72942,0.021,0.00991232,0.00991232,0.00991232
5,73.8784,1.17812,1.07441,1.48789,0.01007,0.58122,0.70464,0.69419,0.47346,1.42746,1.88124,1.6655,0.02674,0.00984449,0.00984449,0.00984449
6,88.104,1.12212,1.01758,1.44398,0.00979,0.78791,0.80974,0.85263,0.6113,1.28404,1.25539,1.52243,0.02269,0.00975773,0.00975773,0.00975773
7,102.429,1.12036,0.99752,1.46199,0.01068,0.81379,0.81961,0.82824,0.61545,1.27938,1.3405,1.49801,0.0243,0.00965239,0.00965239,0.00965239
8,116.741,1.063,0.92011,1.41116,0.00999,0.8684,0.82573,0.84022,0.62417,1.30667,1.20548,1.50667,0.02207,0.00952889,0.00952889,0.00952889
9,130.932,1.03901,0.88966,1.41767,0.00968,0.86119,0.83367,0.84032,0.61198,1.31275,1.31571,1.53038,0.02123,0.00938772,0.00938772,0.00938772
10,145.109,1.07526,0.90272,1.40616,0.00975,0.88184,0.81109,0.8602,0.60646,1.27212,1.25217,1.49297,0.02132,0.00922942,0.00922942,0.00922942
11,159.174,1.01754,0.84076,1.39205,0.0091,0.8011,0.83724,0.88063,0.65077,1.17845,1.26568,1.38988,0.01704,0.00905463,0.00905463,0.00905463
12,173.247,1.02251,0.82092,1.38205,0.00902,0.87558,0.84568,0.88691,0.63317,1.25898,1.07261,1.48917,0.02096,0.00886404,0.00886404,0.00886404
13,187.393,1.00073,0.81358,1.38186,0.00864,0.86463,0.87175,0.89349,0.65733,1.20315,1.05264,1.43566,0.02249,0.00865839,0.00865839,0.00865839
14,201.601,0.97885,0.79636,1.34926,0.00897,0.86044,0.85212,0.86455,0.63741,1.25184,1.23088,1.42431,0.01986,0.00843851,0.00843851,0.00843851
15,215.692,0.98721,0.76751,1.36911,0.00935,0.88619,0.86683,0.88245,0.67286,1.14908,1.03319,1.39169,0.01919,0.00820525,0.00820525,0.00820525
16,229.95,0.95308,0.72796,1.35799,0.00742,0.9133,0.87794,0.89705,0.67366,1.16573,1.03377,1.37567,0.0178,0.00795954,0.00795954,0.00795954
17,244.206,0.98132,0.76387,1.35722,0.00815,0.91607,0.87411,0.89465,0.65994,1.17302,1.02054,1.39548,0.01818,0.00770234,0.00770234,0.00770234
18,258.364,0.95903,0.73968,1.34793,0.00753,0.87061,0.86723,0.87939,0.67251,1.13183,1.08146,1.36513,0.01673,0.00743468,0.00743468,0.00743468
19,272.702,0.91738,0.70844,1.29406,0.0075,0.91231,0.88863,0.90005,0.66784,1.15395,0.97245,1.37816,0.01489,0.00715761,0.00715761,0.00715761
20,286.868,0.93372,0.71229,1.31272,0.00675,0.92098,0.8971,0.90453,0.7086,1.0675,0.90828,1.32004,0.01678,0.00687222,0.00687222,0.00687222
21,300.931,0.89581,0.67285,1.29593,0.00726,0.92328,0.89209,0.90464,0.68833,1.14483,0.95741,1.3961,0.01778,0.00657963,0.00657963,0.00657963
22,315.013,0.89986,0.67188,1.30782,0.00661,0.92097,0.88275,0.89158,0.68208,1.14903,0.97343,1.36613,0.01838,0.00628101,0.00628101,0.00628101
23,329.232,0.89068,0.65807,1.29335,0.00749,0.91733,0.9186,0.92209,0.70608,1.06124,0.82466,1.33032,0.01698,0.00597754,0.00597754,0.00597754
24,343.344,0.87103,0.65084,1.27123,0.0072,0.93554,0.91921,0.92503,0.71601,1.06905,0.8292,1.29705,0.01626,0.0056704,0.0056704,0.0056704
25,357.596,0.85763,0.63104,1.26123,0.00587,0.9384,0.90098,0.90241,0.70134,1.1369,0.88988,1.32773,0.0154,0.00536081,0.00536081,0.00536081
26,371.705,0.85224,0.61585,1.254,0.00599,0.92529,0.91761,0.92085,0.70379,1.10189,0.82276,1.29575,0.01636,0.00505,0.00505,0.00505
27,385.907,0.82948,0.59734,1.2599,0.00587,0.93184,0.91356,0.91597,0.71629,1.0759,0.8259,1.29263,0.01702,0.00473919,0.00473919,0.00473919
28,399.9,0.85622,0.61113,1.27227,0.00604,0.91626,0.91808,0.91258,0.714,1.05189,0.81663,1.291,0.01557,0.0044296,0.0044296,0.0044296
29,414.031,0.81395,0.58593,1.26292,0.00583,0.94869,0.90169,0.91104,0.6928,1.19466,0.8559,1.36999,0.01471,0.00412246,0.00412246,0.00412246
30,428.108,0.83113,0.58781,1.25286,0.00762,0.94218,0.91314,0.91643,0.72256,1.0376,0.82142,1.28136,0.01626,0.00381899,0.00381899,0.00381899
31,442.239,0.82079,0.58157,1.23551,0.00618,0.94638,0.90339,0.91154,0.71718,1.09999,0.84435,1.27999,0.0157,0.00352037,0.00352037,0.00352037
32,456.319,0.80291,0.56153,1.22926,0.00652,0.9451,0.93699,0.92769,0.73368,1.05064,0.72188,1.27676,0.01498,0.00322778,0.00322778,0.00322778
