epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,14.7898,0.26745,0.78282,1,0.41246,0.00330484,0.00330484,0.0702564
2,29.0433,0.28672,0.85881,1,0.45866,0.00663367,0.00663367,0.0402519
3,44.3006,0.28343,0.78325,1,0.9202,0.00994447,0.00994447,0.0102294
4,59.0502,0.35062,0.82642,1,0.40015,0.00993906,0.00993906,0.00993906
5,73.5397,0.27345,0.89508,1,0.28646,0.00989183,0.00989183,0.00989183
6,88.2007,0.23785,0.82211,1,0.48754,0.00983133,0.00983133,0.00983133
7,102.459,0.21562,0.91192,1,0.22993,0.00975773,0.00975773,0.00975773
8,117.618,0.20397,0.91883,1,0.30592,0.00967122,0.00967122,0.00967122
9,132.203,0.19822,0.86356,1,0.33581,0.00957205,0.00957205,0.00957205
10,146.94,0.18407,0.91839,1,0.19761,0.00946048,0.00946048,0.00946048
11,161.219,0.19684,0.91883,1,0.22907,0.00933683,0.00933683,0.00933683
12,175.793,0.16924,0.90889,1,0.22321,0.00920142,0.00920142,0.00920142
13,190.39,0.17485,0.9158,1,0.22901,0.00905463,0.00905463,0.00905463
14,205.057,0.16088,0.92012,1,0.19836,0.00889687,0.00889687,0.00889687
15,219.475,0.16348,0.92832,1,0.20183,0.00872857,0.00872857,0.00872857
16,234.35,0.14366,0.90933,1,0.22705,0.00855018,0.00855018,0.00855018
17,249.212,0.14771,0.93307,1,0.17067,0.0083622,0.0083622,0.0083622
18,263.523,0.16604,0.92185,1,0.19227,0.00816514,0.00816514,0.00816514
19,278.115,0.17111,0.93394,1,0.18212,0.00795954,0.00795954,0.00795954
20,293.482,0.14361,0.9361,1,0.17976,0.00774596,0.00774596,0.00774596
21,308.198,0.14073,0.94128,1,0.15514,0.007525,0.007525,0.007525
22,322.909,0.12785,0.9348,1,0.19036,0.00729725,0.00729725,0.00729725
23,337.375,0.13388,0.94041,1,0.16429,0.00706335,0.00706335,0.00706335
24,352.2,0.12574,0.92962,1,0.20828,0.00682392,0.00682392,0.00682392
25,367.209,0.11999,0.93696,1,0.169,0.00657963,0.00657963,0.00657963
26,381.998,0.11319,0.95164,1,0.13065,0.00633115,0.00633115,0.00633115
27,396.369,0.10776,0.94905,1,0.13179,0.00607916,0.00607916,0.00607916
28,410.898,0.10563,0.94689,1,0.13366,0.00582435,0.00582435,0.00582435
29,425.778,0.10361,0.94775,1,0.1473,0.00556742,0.00556742,0.00556742
30,440.632,0.09694,0.94819,1,0.1371,0.00530906,0.00530906,0.00530906
31,455.099,0.09522,0.94473,1,0.14323,0.00505,0.00505,0.00505
32,469.966,0.09529,0.94775,1,0.14673,0.00479094,0.00479094,0.00479094
33,484.101,0.0833,0.94991,1,0.14459,0.00453258,0.00453258,0.00453258
34,498.912,0.08625,0.94905,1,0.18256,0.00427565,0.00427565,0.00427565
35,513.776,0.08044,0.9443,1,0.15833,0.00402084,0.00402084,0.00402084
36,527.978,0.07964,0.95812,1,0.13042,0.00376885,0.00376885,0.00376885
37,542.948,0.07324,0.95769,1,0.12721,0.00352037,0.00352037,0.00352037
38,558.673,0.07509,0.95553,1,0.1326,0.00327608,0.00327608,0.00327608
39,573.52,0.07698,0.95164,1,0.12805,0.00303665,0.00303665,0.00303665
40,588.544,0.07227,0.95509,1,0.13403,0.00280275,0.00280275,0.00280275
41,603.621,0.05994,0.95639,1,0.13403,0.002575,0.002575,0.002575
42,618.666,0.05816,0.95509,1,0.14467,0.00235404,0.00235404,0.00235404
43,634.034,0.06064,0.95596,1,0.12452,0.00214046,0.00214046,0.00214046
44,648.15,0.05589,0.95855,1,0.13122,0.00193486,0.00193486,0.00193486
45,663.03,0.0514,0.95509,1,0.13348,0.0017378,0.0017378,0.0017378
46,677.62,0.05565,0.95812,1,0.12886,0.00154982,0.00154982,0.00154982
47,692.269,0.05623,0.95294,1,0.14751,0.00137143,0.00137143,0.00137143
48,706.442,0.04436,0.95682,1,0.15286,0.00120313,0.00120313,0.00120313
49,721.744,0.04073,0.95725,1,0.13941,0.00104537,0.00104537,0.00104537
50,736.437,0.04005,0.96028,1,0.16436,0.000898581,0.000898581,0.000898581
51,766.298,0.0434,0.95898,1,0.13967,0.000763174,0.000763174,0.000763174
52,781.788,0.04039,0.96244,1,0.14832,0.000639518,0.000639518,0.000639518
53,797.981,0.04103,0.96373,1,0.12325,0.00052795,0.00052795,0.00052795
54,812.192,0.04071,0.9633,1,0.13674,0.000428777,0.000428777,0.000428777
55,826.778,0.02864,0.9633,1,0.14672,0.00034227,0.00034227,0.00034227
56,841.351,0.03903,0.962,1,0.13745,0.000268667,0.000268667,0.000268667
57,856.118,0.03134,0.96244,1,0.13739,0.000208169,0.000208169,0.000208169
58,870.587,0.03037,0.96244,1,0.14678,0.000160943,0.000160943,0.000160943
59,885.125,0.03104,0.96244,1,0.14849,0.000127117,0.000127117,0.000127117
60,899.856,0.03098,0.96244,1,0.17875,0.000106784,0.000106784,0.000106784
