epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,61.872,1.42878,1.79581,2.10996,0.06019,0.45577,0.52656,0.49324,0.29366,1.45557,2.03558,2.66958,0.02862,0.00332292,0.00332292,0.0700937
2,116.429,1.26869,1.55766,1.90746,0.04032,0.64412,0.54881,0.58238,0.37683,1.25163,1.78935,2.43613,0.03072,0.00665371,0.00665371,0.0400912
3,170.455,1.21214,1.4975,1.84947,0.03641,0.63979,0.59443,0.62,0.41196,1.14552,1.9522,2.19049,0.01967,0.00997434,0.00997434,0.0100785
4,224.145,1.13259,1.37662,1.7782,0.03179,0.70643,0.6325,0.6722,0.47129,0.99925,1.44669,2.00261,0.02047,0.00996569,0.00996569,0.00996569
5,278.67,1.09224,1.28536,1.73679,0.03078,0.73275,0.60223,0.66076,0.45945,1.08258,1.3151,2.09957,0.02183,0.00993906,0.00993906,0.00993906
6,332.574,1.04802,1.22383,1.69383,0.02957,0.81232,0.71383,0.78999,0.58596,0.86835,0.98753,1.82287,0.02348,0.00990489,0.00990489,0.00990489
7,386.46,1.00842,1.19001,1.67211,0.02634,0.78506,0.69718,0.78022,0.59214,0.84383,1.08092,1.78726,0.02084,0.00986323,0.00986323,0.00986323
8,440.485,0.98931,1.13694,1.63663,0.02725,0.8021,0.68378,0.75628,0.58474,0.84591,0.98549,1.77549,0.02022,0.00981415,0.00981415,0.00981415
9,494.258,0.9799,1.094,1.63081,0.02758,0.7687,0.64846,0.74858,0.56766,0.87132,0.97969,1.79327,0.02353,0.00975773,0.00975773,0.00975773
10,549.398,0.95632,1.07847,1.60656,0.02475,0.83699,0.73862,0.79695,0.6156,0.79569,0.82489,1.6994,0.01858,0.00969405,0.00969405,0.00969405
11,604.092,0.95082,1.07933,1.60836,0.02645,0.87594,0.69883,0.81297,0.63862,0.76819,0.8888,1.65968,0.01905,0.0096232,0.0096232,0.0096232
12,659.562,0.93392,1.03675,1.58057,0.02631,0.78523,0.72196,0.79978,0.61394,0.81969,0.96368,1.75065,0.01531,0.00954531,0.00954531,0.00954531
13,712.49,0.91988,1.01324,1.57821,0.02339,0.85222,0.75419,0.8354,0.6506,0.76704,0.74691,1.67122,0.01964,0.00946048,0.00946048,0.00946048
14,765.881,0.90006,0.97356,1.54674,0.02452,0.8236,0.76314,0.8304,0.65607,0.72006,0.74666,1.62014,0.02042,0.00936886,0.00936886,0.00936886
15,818.747,0.90532,0.97677,1.55463,0.02389,0.83218,0.74608,0.8377,0.66401,0.72893,0.72984,1.63176,0.01795,0.00927057,0.00927057,0.00927057
16,871.769,0.88479,0.94719,1.53221,0.02377,0.81402,0.74626,0.82293,0.63353,0.81194,0.89048,1.71037,0.01676,0.00916577,0.00916577,0.00916577
17,924.7,0.85741,0.93008,1.5055,0.02157,0.86303,0.76479,0.85491,0.68435,0.69668,0.68946,1.57046,0.01616,0.00905463,0.00905463,0.00905463
18,977.513,0.87008,0.93254,1.52699,0.0242,0.83318,0.77202,0.84439,0.67661,0.69401,0.72888,1.57201,0.01601,0.00893732,0.00893732,0.00893732
19,1030.22,0.8576,0.90918,1.50925,0.02299,0.85691,0.78096,0.85805,0.6908,0.6859,0.7063,1.55486,0.01973,0.00881401,0.00881401,0.00881401
20,1083.05,0.85386,0.88558,1.50036,0.02341,0.86446,0.79408,0.87223,0.69841,0.69209,0.67953,1.57651,0.01671,0.0086849,0.0086849,0.0086849
21,1135.94,0.83775,0.88486,1.4866,0.02166,0.82727,0.75672,0.83525,0.65542,0.7376,0.73004,1.63421,0.01816,0.00855018,0.00855018,0.00855018
22,1188.94,0.84023,0.87497,1.4861,0.02251,0.84983,0.78946,0.86625,0.70762,0.65186,0.68486,1.52113,0.0157,0.00841006,0.00841006,0.00841006
23,1242.01,0.83635,0.86929,1.48437,0.02356,0.87985,0.77597,0.86422,0.70158,0.66027,0.69415,1.51865,0.01624,0.00826477,0.00826477,0.00826477
24,1294.89,0.83666,0.84667,1.47864,0.02348,0.89297,0.80111,0.88443,0.72804,0.6385,0.59216,1.49066,0.0161,0.00811452,0.00811452,0.00811452
25,1347.68,0.8124,0.83531,1.46299,0.02284,0.88795,0.80065,0.88157,0.72242,0.63746,0.61181,1.50966,0.02146,0.00795954,0.00795954,0.00795954
