image,source,origin_split
PET-bottle-with-cap-and-label_IMG_4024_PNG.rf.1a9651320af8968257ad72fb67f0cedc.jpg,PET-bottle-with-cap-and-label,train
PET-bottle-with-cap-and-label_IMG_4024_PNG.rf.2c16406414c34f185bc563757b8a16ab.jpg,PET-bottle-with-cap-and-label,train
PET-bottle-with-cap-and-label_IMG_4024_PNG.rf.8231be537f8491b8eb2e8cec95158f94.jpg,PET-bottle-with-cap-and-label,train
PET-bottle-with-cap-and-label_IMG_4030_PNG.rf.250b143d209e964e409afa62dfe2efd6.jpg,PET-bottle-with-cap-and-label,train
PET-bottle-with-cap-and-label_IMG_4030_PNG.rf.4762bf507d9e3a8357555a37ed136471.jpg,PET-bottle-with-cap-and-label,train
PET-bottle-with-cap-and-label_IMG_4030_PNG.rf.bea1bcc6fcfc20e3571a538b2bc820a8.jpg,PET-bottle-with-cap-and-label,train
PET-bottle-with-cap-and-label_IMG_4036_PNG.rf.748ad30adaae6264ac2f5f082caefcf6.jpg,PET-bottle-with-cap-and-label,train
PET-bottle-with-cap-and-label_IMG_4036_PNG.rf.76b22dd9bac65b2f0df0e026eb0ca28f.jpg,PET-bottle-with-cap-and-label,train
PET-bottle-with-cap-and-label_IMG_4036_PNG.rf.e2d195ff0087d3fc4a72263ece296ec9.jpg,PET-bottle-with-cap-and-label,train
PET-bottle-with-cap-and-label_IMG_4037_PNG.rf.3a0fddd4b1bc13884129ec2faa7c809a.jpg,PET-bottle-with-cap-and-label,train
PET-bottle-with-cap-and-label_IMG_4037_PNG.rf.440e7336abd7c1591c9938234afd95d5.jpg,PET-bottle-with-cap-and-label,train
PET-bottle-with-cap-and-label_IMG_4037_PNG.rf.4b1d3c8efc0a9d601c05b59b2b28d4da.jpg,PET-bottle-with-cap-and-label,train
PET-bottle-with-cap-and-label_IMG_4050_PNG.rf.52fb4940deb9f40e64aaa17cee9a392f.jpg,PET-bottle-with-cap-and-label,train
PET-bottle-with-cap-and-label_IMG_4050_PNG.rf.c6da5ccb8e6d10a355aab09df2f7a84e.jpg,PET-bottle-with-cap-and-label,train
PET-bottle-with-cap-and-label_IMG_4051_JPG.rf.09c1c2787cd50be25e00c5e52cb976e9.jpg,PET-bottle-with-cap-and-label,train
PET-bottle-with-cap-and-label_IMG_4051_JPG.rf.a67afec3cedf356f4648a5948b692528.jpg,PET-bottle-with-cap-and-label,train
PET-bottle-with-cap-and-label_IMG_4064_PNG.rf.59346f0511768661e79040c397617b72.jpg,PET-bottle-with-cap-and-label,train
PET-bottle-with-cap-and-label_IMG_4064_PNG.rf.fb448987a1d0fc5fa55be0c8f16d1335.jpg,PET-bottle-with-cap-and-label,train
PET-bottle-with-cap-and-label_IMG_4067_PNG.rf.a47244bf53264adfc84f4bdb973e709f.jpg,PET-bottle-with-cap-and-label,train
PET-bottle-with-cap-and-label_IMG_4070_PNG.rf.40e870abc1254d892d35392793b91056.jpg,PET-bottle-with-cap-and-label,train
PET-bottle-with-cap-and-label_IMG_4070_PNG.rf.865498695d500c2ac8b1676b24df2e79.jpg,PET-bottle-with-cap-and-label,train
PET-bottle-with-cap-and-label_IMG_4070_PNG.rf.897f9398c38adb28a5f6e4961e4c41c9.jpg,PET-bottle-with-cap-and-label,train
PET-bottle-with-cap-and-label_IMG_4116_PNG.rf.2f62c35d8e23e6e90e26ef56f39ae2fc.jpg,PET-bottle-with-cap-and-label,train
PET-bottle-with-cap-and-label_IMG_4116_PNG.rf.86ddc8632b8401e7178d08208a6cb7b7.jpg,PET-bottle-with-cap-and-label,train
PET-bottle-with-cap-and-label_IMG_4116_PNG.rf.942bbe75daadfd98bffe2d142a31c5ad.jpg,PET-bottle-with-cap-and-label,train
PET-bottle-with-cap-and-label_IMG_4117_PNG.rf.06a2bfdbaf7235a03cbe6d396d2bb795.jpg,PET-bottle-with-cap-and-label,train
PET-bottle-with-cap-and-label_IMG_4117_PNG.rf.6dc1c7b7bf44c8c42b829e8e73b06d68.jpg,PET-bottle-with-cap-and-label,train
PET-bottle-with-cap-and-label_IMG_4117_PNG.rf.fbb2043b2af7331e1f1512ac4ec2e85b.jpg,PET-bottle-with-cap-and-label,train
PET-bottle-with-cap-and-label_IMG_4123_PNG.rf.1885d02c67669dc5146a703087703cf2.jpg,PET-bottle-with-cap-and-label,train
PET-bottle-with-cap-and-label_IMG_4123_PNG.rf.5733fc957f41832ff6572cc01ccba4a2.jpg,PET-bottle-with-cap-and-label,train
PET-bottle-with-cap-and-label_IMG_4123_PNG.rf.709d672f3ea03aa5d4d483264896c42a.jpg,PET-bottle-with-cap-and-label,train
PET-bottle-with-cap-and-label_IMG_4223_JPG.rf.508ed764dfa3f6c992a7ee590c11b095.jpg,PET-bottle-with-cap-and-label,train
PET-bottle-with-cap-and-label_IMG_4223_JPG.rf.61e534a5f5877dddf99a858c98598ff4.jpg,PET-bottle-with-cap-and-label,train
PET-bottle-with-cap-and-label_IMG_4223_JPG.rf.c6481344c7d6574fe3ee825a92990128.jpg,PET-bottle-with-cap-and-label,train
PET-bottle-with-cap-and-label_IMG_4249_JPG.rf.0052dd3c190f30006a231bfdc32b9c5c.jpg,PET-bottle-with-cap-and-label,train
PET-bottle-with-cap-and-label_IMG_4249_JPG.rf.3fb0d0f9b12523306d0797d707c257c2.jpg,PET-bottle-with-cap-and-label,train
PET-bottle-with-cap-and-label_IMG_4249_JPG.rf.79ee961ba4f5bbc4fd099ba8b5ac7200.jpg,PET-bottle-with-cap-and-label,train
PET-bottle-with-cap-and-label_IMG_4250_JPG.rf.02d5d53bafe166d9c06ef42a0a873bda.jpg,PET-bottle-with-cap-and-label,train
PET-bottle-with-cap-and-label_IMG_4250_JPG.rf.733773e51c034679afac6772f0160af4.jpg,PET-bottle-with-cap-and-label,train
PET-bottle-with-cap-and-label_IMG_4250_JPG.rf.dd781cc431f409b40aaee3dd6bba980d.jpg,PET-bottle-with-cap-and-label,train
PET-bottle-with-cap-and-label_IMG_4257_JPG.rf.2b6e7ea72206ff19bf54d99b7c0fcd86.jpg,PET-bottle-with-cap-and-label,train
PET-bottle-with-cap-and-label_IMG_4257_JPG.rf.7939e6e6f5eb732ee91249d9b759534a.jpg,PET-bottle-with-cap-and-label,train
PET-bottle-with-cap-and-label_IMG_4257_JPG.rf.a903c1e7e625c7034d9883e93fa746a9.jpg,PET-bottle-with-cap-and-label,train
PET-bottle-with-cap-and-label_IMG_4426_JPG.rf.1701c40556dbebc4aa527b7e2b9fb3fa.jpg,PET-bottle-with-cap-and-label,train
PET-bottle-with-cap-and-label_IMG_4426_JPG.rf.209acefb48f361a53174848cda517eef.jpg,PET-bottle-with-cap-and-label,train
PET-bottle-with-cap-and-label_IMG_4426_JPG.rf.a1c392a97a9e92a057a7026340df313c.jpg,PET-bottle-with-cap-and-label,train
PET-bottle-with-cap-and-label_IMG_4436_JPG.rf.c7a82330b2aee96315636ecac5e95ad3.jpg,PET-bottle-with-cap-and-label,train
PET-bottle-with-cap-and-label_IMG_4436_JPG.rf.ce9dcb1e1d0163f6ac5b0b9b6f30678d.jpg,PET-bottle-with-cap-and-label,train
PET-bottle-with-cap-and-label_IMG_4437_JPG.rf.713e503e3541b31a77dd06d44ac480d6.jpg,PET-bottle-with-cap-and-label,train
