epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,19.1876,1.58077,2.14506,1.93445,0.06701,0.33558,0.45219,0.36194,0.21738,1.40985,7.86198,2.28631,0.05661,0.00328358,0.00328358,0.0704478
2,35.0637,1.35413,1.51499,1.72508,0.05564,0.50463,0.40307,0.36043,0.2301,1.39518,6.68634,1.98102,0.05484,0.00661651,0.00661651,0.0404474
3,50.9741,1.30334,1.42276,1.66118,0.04799,0.54154,0.46921,0.47467,0.29696,1.42421,4.44667,2.11632,0.04671,0.00994782,0.00994782,0.0104453
4,67.0406,1.26671,1.38209,1.6587,0.04503,0.54504,0.50579,0.53089,0.34232,1.22489,4.56308,1.84854,0.05686,0.0099945,0.0099945,0.0099945
5,82.6854,1.20068,1.23764,1.59293,0.04165,0.68197,0.59833,0.64029,0.43444,1.12969,1.61502,1.74053,0.04343,0.00999023,0.00999023,0.00999023
6,98.3479,1.16081,1.18572,1.59924,0.04205,0.73086,0.57459,0.6389,0.43338,1.09755,1.3562,1.73574,0.04367,0.00998474,0.00998474,0.00998474
7,113.786,1.12026,1.11094,1.551,0.04291,0.77192,0.59543,0.65899,0.43182,1.11292,1.23257,1.63722,0.04746,0.00997803,0.00997803,0.00997803
8,129.3,1.13727,1.11979,1.55169,0.04198,0.83844,0.63845,0.71659,0.49832,1.03897,1.01654,1.59338,0.04449,0.00997011,0.00997011,0.00997011
9,144.977,1.11139,1.06325,1.53326,0.04603,0.78081,0.61717,0.69355,0.48111,1.01065,1.98208,1.58876,0.0533,0.00996097,0.00996097,0.00996097
10,160.631,1.09849,1.02112,1.51983,0.04128,0.74057,0.59316,0.65288,0.44865,1.07575,1.62768,1.68573,0.04546,0.00995062,0.00995062,0.00995062
11,176.262,1.06351,0.9977,1.49496,0.04064,0.83667,0.66715,0.75724,0.53835,0.93012,0.96734,1.49648,0.04591,0.00993906,0.00993906,0.00993906
12,191.909,1.04212,0.96075,1.49104,0.0428,0.82608,0.679,0.75608,0.55319,0.91865,1.04061,1.5038,0.04426,0.00992629,0.00992629,0.00992629
13,207.658,1.01592,0.89387,1.46792,0.04081,0.8017,0.68927,0.75665,0.53091,1.00782,0.97358,1.62794,0.04678,0.00991232,0.00991232,0.00991232
14,223.371,1.01288,0.89806,1.45465,0.04064,0.84434,0.6788,0.75281,0.54523,0.91958,1.08394,1.51589,0.04382,0.00989715,0.00989715,0.00989715
15,238.911,1.03091,0.91934,1.46172,0.04337,0.81796,0.71095,0.78294,0.56221,0.8964,0.84471,1.46042,0.04335,0.00988079,0.00988079,0.00988079
16,254.481,1.00816,0.86425,1.44833,0.0434,0.84475,0.71522,0.78299,0.56835,0.91474,0.87374,1.48908,0.04196,0.00986323,0.00986323,0.00986323
17,270.378,0.99872,0.88061,1.45655,0.04283,0.8123,0.70112,0.76841,0.555,0.9073,0.89108,1.47097,0.04386,0.00984449,0.00984449,0.00984449
18,285.736,0.9783,0.8568,1.42419,0.038,0.74116,0.62543,0.68577,0.49039,0.99848,1.2744,1.63194,0.04846,0.00982456,0.00982456,0.00982456
19,300.909,0.94903,0.82363,1.40164,0.0363,0.85906,0.72274,0.78712,0.58029,0.87247,0.77657,1.4364,0.04299,0.00980345,0.00980345,0.00980345
20,316.157,0.97018,0.83487,1.41744,0.03711,0.87534,0.73772,0.80929,0.58972,0.85912,0.78691,1.4292,0.04393,0.00978118,0.00978118,0.00978118
21,331.361,0.96553,0.84395,1.41669,0.03954,0.89944,0.73006,0.81107,0.59264,0.88231,0.74509,1.4459,0.04438,0.00975773,0.00975773,0.00975773
22,346.814,0.96764,0.82123,1.41234,0.03846,0.85966,0.70638,0.79007,0.57131,0.8899,0.87851,1.45647,0.04127,0.00973312,0.00973312,0.00973312
23,362.09,0.96118,0.79979,1.4049,0.03997,0.87114,0.73937,0.78961,0.57696,0.86999,0.76316,1.44407,0.04324,0.00970736,0.00970736,0.00970736
24,377.365,0.92835,0.778,1.38557,0.03576,0.87722,0.72223,0.78878,0.58455,0.8547,0.76269,1.43019,0.03973,0.00968045,0.00968045,0.00968045
25,392.594,0.92271,0.75575,1.38069,0.03661,0.86069,0.73464,0.80494,0.59991,0.8604,0.72227,1.43893,0.04074,0.00965239,0.00965239,0.00965239
26,408.151,0.91082,0.74701,1.36755,0.03065,0.87304,0.74059,0.80909,0.59912,0.83834,0.72435,1.42619,0.03978,0.0096232,0.0096232,0.0096232
27,423.393,0.93202,0.76728,1.3855,0.03923,0.88105,0.73851,0.79933,0.58784,0.84743,0.73258,1.41113,0.04118,0.00959289,0.00959289,0.00959289
28,438.57,0.93045,0.76587,1.38942,0.03805,0.89217,0.73734,0.813,0.60148,0.85796,0.68937,1.4406,0.04243,0.00956145,0.00956145,0.00956145
29,453.803,0.89815,0.70412,1.36613,0.03435,0.86104,0.7523,0.80782,0.61038,0.83567,0.74019,1.42279,0.03905,0.00952889,0.00952889,0.00952889
