epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,23.3122,1.13621,1.13468,1.7157,0.02621,0.79413,0.67437,0.74987,0.53585,1.07701,1.07204,1.81919,0.01315,0.000329749,0.000329749,0.0673548
2,43.0323,1.02384,0.91405,1.62356,0.01754,0.83962,0.7598,0.8295,0.6158,0.97783,0.8229,1.70464,0.01291,0.000662829,0.000662829,0.0343546
3,62.5574,1.00829,0.88144,1.60974,0.01769,0.86343,0.78874,0.85688,0.64202,0.924,0.74716,1.67602,0.0123,0.000994895,0.000994895,0.00135332
4,81.9889,0.95569,0.80751,1.56108,0.01661,0.88312,0.76105,0.85502,0.64419,0.92319,0.73651,1.69058,0.01303,0.000996569,0.000996569,0.000996569
5,101.51,0.94137,0.79567,1.55433,0.01594,0.85958,0.76992,0.84692,0.64147,0.90086,0.74998,1.65526,0.01252,0.000993906,0.000993906,0.000993906
6,121.085,0.9405,0.77397,1.5448,0.01639,0.88345,0.77038,0.85562,0.6466,0.89956,0.7215,1.66714,0.01225,0.000990489,0.000990489,0.000990489
7,140.448,0.92019,0.75784,1.52489,0.01574,0.88017,0.78379,0.8596,0.6551,0.87983,0.67735,1.61279,0.01157,0.000986323,0.000986323,0.000986323
8,159.904,0.91411,0.74407,1.51565,0.01601,0.88346,0.7744,0.86499,0.6567,0.88297,0.68412,1.618,0.0122,0.000981415,0.000981415,0.000981415
9,179.404,0.91163,0.7171,1.51981,0.01579,0.91813,0.78716,0.8813,0.67199,0.86886,0.65938,1.61824,0.0115,0.000975773,0.000975773,0.000975773
10,198.733,0.8958,0.71112,1.51074,0.01446,0.84566,0.80443,0.86736,0.6631,0.86364,0.68424,1.60496,0.0115,0.000969405,0.000969405,0.000969405
11,218.254,0.87801,0.70783,1.48701,0.01589,0.86952,0.7898,0.86587,0.66311,0.85969,0.67368,1.6209,0.01209,0.00096232,0.00096232,0.00096232
12,237.639,0.88565,0.69592,1.50109,0.01314,0.88167,0.77584,0.86358,0.65528,0.8833,0.68372,1.64709,0.01139,0.000954531,0.000954531,0.000954531
13,257.463,0.87338,0.67558,1.48892,0.01379,0.91477,0.79671,0.88198,0.67436,0.85445,0.63009,1.60021,0.01038,0.000946048,0.000946048,0.000946048
14,277.421,0.87302,0.67894,1.48243,0.01516,0.86503,0.78767,0.8569,0.65802,0.85917,0.69067,1.605,0.01121,0.000936886,0.000936886,0.000936886
15,297.384,0.8753,0.67246,1.48552,0.0139,0.89592,0.80519,0.88095,0.67022,0.85082,0.63611,1.5793,0.01068,0.000927057,0.000927057,0.000927057
16,317.329,0.86012,0.65848,1.47854,0.01467,0.87754,0.80091,0.87195,0.66427,0.85036,0.63921,1.59201,0.01054,0.000916577,0.000916577,0.000916577
17,337.416,0.84662,0.65916,1.46091,0.01376,0.90172,0.80077,0.8846,0.67721,0.84728,0.62977,1.60782,0.01023,0.000905463,0.000905463,0.000905463
18,357.474,0.83919,0.64362,1.44262,0.01287,0.87048,0.79894,0.86612,0.66263,0.84349,0.65179,1.61311,0.01104,0.000893732,0.000893732,0.000893732
19,377.315,0.83764,0.64325,1.46229,0.0134,0.90874,0.80989,0.88869,0.67741,0.83427,0.63044,1.56905,0.01035,0.000881401,0.000881401,0.000881401
20,397.384,0.84568,0.65409,1.45079,0.01298,0.89866,0.79739,0.87982,0.66882,0.8398,0.62654,1.58229,0.01042,0.00086849,0.00086849,0.00086849
21,417.444,0.84193,0.63849,1.44685,0.0147,0.90913,0.80127,0.87967,0.67496,0.83401,0.60615,1.5734,0.01091,0.000855018,0.000855018,0.000855018
